description-text,clean_review,sentiment,sentiment_score,Condition,Age_numeric,Gender
,nan,Neutre,0.0,     Additional Medications to Treat Depression,49.5,female
"When Abilify was added to my current anti-depressant, I noticed an immediate difference.  I have definitely not had weight gain as I have lost weight recently.",abilify added current antidepressant noticed immediate difference definitely weight gain lost weight recently,Positif,0.5859,     Bipolar I Disorder with Most Recent Episode Mixed,59.5,female
"I was very troubled when I suddenly started gaining weight rapidly. I've been on Abilify for 4 months now. I have gained over 40 pounds since starting this medication. I did not learn of the weight gain factor until I researched this medication. My doctor DID NOT INFORM ME. I have mixed reviews because it made me feel emotionally good and stable. Yet, the weight gain is now depressing me!",troubled suddenly started gaining weight rapidly ive abilify months gained pounds since starting medication learn weight gain factor researched medication doctor inform mixed reviews made feel emotionally good stable yet weight gain depressing,Positif,0.8934,     Additional Medications to Treat Depression,39.5,female
"I AM EXPERIENCING LEG CRAMPS, I AM A DIABETIC, AND HAVE A SEIZURE DISORDER.  WHAT DO YOU RECOMMEND",experiencing leg cramps diabetic seizure disorder recommend,Négatif,-0.0516,     Other,59.5,female
"I started taking this medication in 2011, and with it came a 40-lb weight gain...talk about depressing!",started taking medication came lb weight gaintalk depressing,Négatif,-0.3818,     Bipolar I Disorder with Most Recent Episode Mixed,59.5,female
"I feel like this drug helped save my life. I take a very low dose(2.5mg) 5 nights per week. I take other antidepressants and mood stabilizers but the addition of ability is what really has helped my bipolar II stay in remission. I felt the benefits from it almost instantly, just 30 minutes after taking the first pill. I have no side effects.",feel like drug helped save life take low dosemg nights per week take antidepressants mood stabilizers addition ability really helped bipolar ii stay remission felt benefits almost instantly minutes taking first pill side effects,Positif,0.8176,     Other,39.5,female
"I feel like this drug helped save my life. I take a very low dose(2.5mg) 5 nights per week. I take other antidepressants and mood stabilizers but the addition of ability is what really has helped my bipolar II stay in remission. I felt the benefits from it almost instantly, just 30 minutes after taking the first pill. I have no side effects.",feel like drug helped save life take low dosemg nights per week take antidepressants mood stabilizers addition ability really helped bipolar ii stay remission felt benefits almost instantly minutes taking first pill side effects,Positif,0.8176,     Additional Medications to Treat Depression,69.5,female
wasnt sure how to update already posted side effects but also had lightheadness a lot of tha times when id stand up or even while standing,wasnt sure update already posted side effects also lightheadness lot tha times id stand even standing,Négatif,-0.2411,     Additional Medications to Treat Depression,39.5,female
I was not informed of the risk of developing tardive dyskinesia which has continued more than six months after discontinuing the abilify.,informed risk developing tardive dyskinesia continued six months discontinuing abilify,Négatif,-0.2732,     Additional Medications to Treat Depression,69.5,female
,nan,Neutre,0.0,     Other,29.5,female
"Out of nine other drugs to accompany my paxil, seroquel, and depakote; Only this one had wonderous effects for my mood, got me up and moving, positive, exercising, etc, with no apparent side effects and even reduced the negative side effects of the regimen I was on; stopped trembling, thinking and focusing clearer (for the first time since my thyrotoxicosis 4 yrs ago) much stabler, and most of all, I feel so much more in control of myself... wonderful!",nine drugs accompany paxil seroquel depakote one wonderous effects mood got moving positive exercising etc apparent side effects even reduced negative side effects regimen stopped trembling thinking focusing clearer first time since thyrotoxicosis yrs ago much stabler feel much control wonderful,Positif,0.0516,     Additional Medications to Treat Depression,29.5,female
"I had a manic episode in 2012 and I am now in remission. I'm now on 2.5 mg of Abilify only (no other meds). It seems to be working fine for me, but I did gain 20 lbs on it. Avoid it if you can, but take it if you must.",manic episode remission im mg abilify meds seems working fine gain lbs avoid take must,Positif,0.4588,     Bipolar Disorder in Remission,29.5,female
"I feel like this drug helped save my life. I take a very low dose(2.5mg) 5 nights per week. I take other antidepressants and mood stabilizers but the addition of ability is what really has helped my bipolar II stay in remission. I felt the benefits from it almost instantly, just 30 minutes after taking the first pill. I have no side effects.",feel like drug helped save life take low dosemg nights per week take antidepressants mood stabilizers addition ability really helped bipolar ii stay remission felt benefits almost instantly minutes taking first pill side effects,Positif,0.8176,     Bipolar Disorder in Remission,39.5,male
Been taking since sept. 16th. Im very restless and my thoughts are getting hopeless. Now they have me on Cogentin too to help with side effects,taking since sept th im restless thoughts getting hopeless cogentin help side effects,Négatif,-0.34,     Bipolar I Disorder with Most Recent Episode Mixed,49.5,female
I acquired acute dyskensia,acquired acute dyskensia,Neutre,0.0,     Additional Medications to Treat Depression,80.0,female
"My psychiatrist gave this to me to augment my Wellbutrin (Bupropion) antidepressant.  It made me feel incredibly fatigued, so I could barely work or concentrate.  It also made me feel woozy, sick to my stomach, jittery, and downright paranoid.  I also lost a noticeable amount of weight.  A low dosage managed to screw me up like that, so I gave it up after just a month.  Keep in mind, though, that fifteen antidepressants have failed me, so I have a very stubborn case of it.",psychiatrist gave augment wellbutrin bupropion antidepressant made feel incredibly fatigued could barely work concentrate also made feel woozy sick stomach jittery downright paranoid also lost noticeable amount weight low dosage managed screw like gave month keep mind though fifteen antidepressants failed stubborn case,Négatif,-0.9359,     Additional Medications to Treat Depression,21.5,male
,nan,Neutre,0.0,     Additional Medications to Treat Depression,29.5,female
abilify was the reason i went to the emergency room i lost use of my hands and arms muscle spasmit even affected my ability to walk i would not reccamend ths drug to anyone,abilify reason went emergency room lost use hands arms muscle spasmit even affected ability walk would reccamend ths drug anyone,Négatif,-0.4939,     Schizophrenia,29.5,female
I had immediate results.  I wouldn't get dressed all day for months.  I was up and at 'em the next morning and felt great.  Have been on it about 6 mos. and have not gained a pound. It's made a HUGE improvement in my daily life.  The antidepressants alone were not doing it for me.  I continue to see the benefits today that I did when I first started it.  I'm living life again.,immediate results wouldnt get dressed day months em next morning felt great mos gained pound made huge improvement daily life antidepressants alone continue see benefits today first started im living life,Positif,0.9118,     Additional Medications to Treat Depression,59.5,female
I took it for around 6 months and I gained 15 pounds and was very un satisified with my mood.,took around months gained pounds un satisified mood,Positif,0.3818,     Additional Medications to Treat Depression,15.5,female
I tried ABilify with Wellbutrin and the boredom it caused was outrageous and unbearable. I am now taking 60mg of Prozax with 10mg of Buspar and I'm now doing well for the 1st time in my life.,tried abilify wellbutrin boredom caused outrageous unbearable taking mg prozax mg buspar im well st time life,Négatif,-0.4939,     Additional Medications to Treat Depression,49.5,male
"14 year old female patient began to feel suicidal, harm self, and hears voices to harm family members.",year old female patient began feel suicidal harm self hears voices harm family members,Négatif,-0.91,     Other,15.5,female
Ability worked for me on the very first day!,ability worked first day,Positif,0.3182,     Additional Medications to Treat Depression,69.5,female
"This drug has been very effective in my treatment in conjunction with an anti-depressant. I am 6' 4"" and was slender before taking this medication and gained 50 pounds while using it.  The doctor is tapering me off of it out of concern for my weight gain.  I eat in a very healthy manner and exercise regularly.",drug effective treatment conjunction antidepressant slender taking medication gained pounds using doctor tapering concern weight gain eat healthy manner exercise regularly,Positif,0.8957,     Bipolar Disorder in Remission,49.5,male
my vision got really blury didn't put the two together till I went to refill my pills and there the warning was on the bottle.  I even called my eye doctor 2 weeks ago to see if I was due for an eye appointment.  Need to stop till I talk to my doc.  Only been on one month.,vision got really blury didnt put two together till went refill pills warning bottle even called eye doctor weeks ago see due eye appointment need stop till talk doc one month,Négatif,-0.3818,     Additional Medications to Treat Depression,49.5,female
abilify works for me   just too exspnsive,abilify works exspnsive,Neutre,0.0,     Bipolar I Disorder with Most Recent Episode Mixed,59.5,female
"kicks in pretty fast,Abilify has really helped with my bipolar,",kicks pretty fastabilify really helped bipolar,Positif,0.4939,     Bipolar I Disorder with Most Recent Episode Mixed,49.5,female
I take this drug as a supplement to my bupropion XL the only thing I don't like about this drug is it makes you gain weight I may ask my doctor on my next visit to change me to a different supplement as I have gained 40 lbs since moving here in 2011,take drug supplement bupropion xl thing dont like drug makes gain weight may ask doctor next visit change different supplement gained lbs since moving,Positif,0.598,     Additional Medications to Treat Depression,59.5,female
I gained 40 pounds with this medication.,gained pounds medication,Positif,0.3818,     Additional Medications to Treat Depression,29.5,female
unfortunately our son had to stop this med after 9 doses he had severe dystonia. we loved how it helped  him he short time but the ninth day he suddenly had neck and hip spasms that later that day were so bad we ended up in the Emergency department. had to stop and now are checking other alternatives.  If you start having neck pain call your provider immediately,unfortunately son stop med doses severe dystonia loved helped short time ninth day suddenly neck hip spasms later day bad ended emergency department stop checking alternatives start neck pain call provider immediately,Négatif,-0.9169,     Bipolar I Disorder with Most Recent Episode Mixed,15.5,female
"I pray I don't get tardive dyskinesia and so far so good.  It also seems to be working with my anti-depressant very well.  The biggest problem is WEIGHT GAIN.  I've gained 40 pounds and I'm not sure what to attribute it to since my anti-depressant also causes it.  I'm used to being 125 - I am now 180.  It's unbelievable and barely eating doesn't seem to help.  I don't excercise, but I can't blame it all on that - I rarely exercised before and I still weighed 125.  I hate this side effect.",pray dont get tardive dyskinesia far good also seems working antidepressant well biggest problem weight gain ive gained pounds im sure attribute since antidepressant also causes im used unbelievable barely eating doesnt seem help dont excercise cant blame rarely exercised still weighed hate side effect,Positif,0.7163,     Additional Medications to Treat Depression,49.5,female
"81 year old male, retired professor of medicine, treated for depression since 1958 with no real relief from any medication since tricyclics were introduced. Breakthrough in 2010 while on venlafaxine and mixed amphetamine salts. Abilify added  January 2012 because of acute exacerbation of depression. Improvement within one week and maintained. In second week of tapering off this agent with no problem as yet. No weight gain or impairment of blood glucose control. Excellent agent for me.",year old male retired professor medicine treated depression since real relief medication since tricyclics introduced breakthrough venlafaxine mixed amphetamine salts abilify added january acute exacerbation depression improvement within one week maintained second week tapering agent problem yet weight gain impairment blood glucose control excellent agent,Positif,0.4767,     Additional Medications to Treat Depression,80.0,male
"I started having tachacardia and my Dr. found that it was adrenals causing the sinus tachacardia with arithmyias .  I did some research and found that this drug can cause this.  My heart throbs constanly throughout my entire body.  Horrible digestive problems with extreme flatulence. I could not sleep more than two hours per night and woke up many times during my sleep.  Anxiety, felt high.  Terrible drug, I think.",started tachacardia dr found adrenals causing sinus tachacardia arithmyias research found drug cause heart throbs constanly throughout entire body horrible digestive problems extreme flatulence could sleep two hours per night woke many times sleep anxiety felt high terrible drug think,Négatif,-0.875,     Other,49.5,female
"Added as a ""booster"" to other medications used to treat manic-depression.  Quickly felt results.",added booster medications used treat manicdepression quickly felt results,Positif,0.4019,     Additional Medications to Treat Depression,59.5,female
wasnt sure how to update already posted side effects but also had lightheadness a lot of tha times when id stand up or even while standing,wasnt sure update already posted side effects also lightheadness lot tha times id stand even standing,Négatif,-0.2411,     Bipolar I Disorder with Most Recent Episode Mixed,49.5,female
works great for my depression but the weight gain sucks,works great depression weight gain sucks,Positif,0.3182,     Additional Medications to Treat Depression,49.5,female
,nan,Neutre,0.0,     Other,39.5,female
This stuff made me feel crazier than I have my entire life. Stay away.,stuff made feel crazier entire life stay away,Neutre,-0.0258,     Additional Medications to Treat Depression,49.5,male
"I take 50 MG of celexa, the most they will let me take. I did fine, but panic attacks started and they added this. This drug is amazing. I have never felt better. But, I have gained 25 lbs and they are taking me off it. I had lost a lot of weight and maintained it for 3 years until this pill. I also have a pretty bad rash from it. Never realized what was causing it until now. But, I feel amazing!",take mg celexa let take fine panic attacks started added drug amazing never felt better gained lbs taking lost lot weight maintained years pill also pretty bad rash never realized causing feel amazing,Négatif,-0.6898,     Additional Medications to Treat Depression,39.5,female
I have been on this about 3 months with absolutely no change. I have not noticed weight gain bc of this pill. I have had no changes good or bad.,months absolutely change noticed weight gain bc pill changes good bad,Positif,0.4215,     Additional Medications to Treat Depression,29.5,female
,nan,Neutre,0.0,     Additional Medications to Treat Depression,15.5,male
Works for me!,works,Neutre,0.0,     Schizophrenia,49.5,male
"Until recently, I had been taking Zoloft for years with satisfactory results.  Depression and bipolar symptoms returned strongly and Abilify was added to my treatment upon my request.  I have experienced significant spotting since starting this drug, but the beneficial effects outweigh this by far.",recently taking zoloft years satisfactory results depression bipolar symptoms returned strongly abilify added treatment upon request experienced significant spotting since starting drug beneficial effects outweigh far,Positif,0.5574,     Additional Medications to Treat Depression,39.5,female
Medicine makes me gain weight and have erection problems,medicine makes gain weight erection problems,Positif,0.1779,     Other,21.5,male
horrible weight gain,horrible weight gain,Neutre,-0.0258,     Additional Medications to Treat Depression,39.5,female
Too much weight gain I had to stop.,much weight gain stop,Positif,0.296,     Additional Medications to Treat Depression,39.5,male
I take Abilify at night (5mg) and Zoloft (200mg) and welbutrin (100mg) in am for Depression. Was taking Trazadone with the Abilify for sleep but now don't need Trazadone and find that Abilify makes me drowsy enough. For the depression it worked extremely well with the other meds.,take abilify night mg zoloft mg welbutrin mg depression taking trazadone abilify sleep dont need trazadone find abilify makes drowsy enough depression worked extremely well meds,Négatif,-0.719,     Additional Medications to Treat Depression,59.5,female
Made me feel a whole better,made feel whole better,Positif,0.4404,     Additional Medications to Treat Depression,59.5,female
A very effective medication that I am happy with the end results.,effective medication happy end results,Positif,0.7783,     Other,49.5,male
I take this at night and it helps me sleep. It is very effective. I gained some weight though. I recommend taking it for depression.,take night helps sleep effective gained weight though recommend taking depression,Positif,0.7269,     Additional Medications to Treat Depression,29.5,female
SOASTA test,soasta test,Neutre,0.0,     Other,,nan
"2mg worked great, it when I had it increased to 10mg that I noticed some side effects Such as weight gain, bloating , constipation, and man boobs. Diet and exercise do not seem enough thinking of coming off.",mg worked great increased mg noticed side effects weight gain bloating constipation man boobs diet exercise seem enough thinking coming,Positif,0.8625,     Other,15.5,male
,nan,Neutre,0.0,     Additional Medications to Treat Depression,59.5,female
I hated this stuff.  It gave me huge memory lapses and terrible blurred vision.  I was unable to function properly.,hated stuff gave huge memory lapses terrible blurred vision unable function properly,Négatif,-0.6124,     Mania associated with Bipolar Disorder,49.5,female
"Abilify gave me hallucinations and delusions on the second day when I NEVER had them before. When I complained to my doctor and insisted I would not take it, he threw a fit! Then I learned Medicare pays $683 to the drug-maker for this poison. Apparently, my doctor needed me on this drug to pay for the mags on his Porsche. Do NOT take this poison!",abilify gave hallucinations delusions second day never complained doctor insisted would take threw fit learned medicare pays drugmaker poison apparently doctor needed drug pay mags porsche take poison,Négatif,-0.5635,     Mania associated with Bipolar Disorder,49.5,female
"I have gained 50 lbs in just a couple of months time. This is all water weight gain. I stopped taking Abilify 4 wks ago and still have swelling and hot flashes. Not sure how long it takes to get this med. out of your system, but it is sure taking it's sweet time with me.",gained lbs couple months time water weight gain stopped taking abilify wks ago still swelling hot flashes sure long takes get med system sure taking sweet time,Positif,0.8934,     Additional Medications to Treat Depression,49.5,female
,nan,Neutre,0.0,     Additional Medications to Treat Depression,49.5,female
"My wife has been diagnosed with vascular dementia. Placed on an antipressant ,she did real good. Then she was placed on Abilify and has gone from bad to worse since being placed on Abilify/",wife diagnosed vascular dementia placed antipressant real good placed abilify gone bad worse since placed abilify,Négatif,-0.5719,     Schizophrenia,80.0,male
wasnt sure how to update already posted side effects but also had lightheadness a lot of tha times when id stand up or even while standing,wasnt sure update already posted side effects also lightheadness lot tha times id stand even standing,Négatif,-0.2411,     Other,59.5,female
I took this for only one night.  By the next morning I woke up freaking pist off at the world for no reason.,took one night next morning woke freaking pist world reason,Négatif,-0.4215,     Bipolar I Disorder with Most Recent Episode Mixed,29.5,female
very happy with this med .it has done wonders,happy med done wonders,Positif,0.5719,     Additional Medications to Treat Depression,39.5,female
severe weight gain,severe weight gain,Positif,0.2023,     Additional Medications to Treat Depression,69.5,female
,nan,Neutre,0.0,     Other,39.5,male
I took this medication for my depression and it helped alot better than Zoloft.,took medication depression helped alot better zoloft,Négatif,-0.2023,     Other,21.5,female
"This medication ended up putting me in the hospital. It was supposed to add a stabilizing effect to my current medications. I ended up trying to commit suicide and was admitted to the hospital because of this medication. It is not recommended for children under 18, and now I know why.",medication ended putting hospital supposed add stabilizing effect current medications ended trying commit suicide admitted hospital medication recommended children know,Négatif,-0.2732,     Mania associated with Bipolar Disorder,15.5,female
"Just started my first Abilify regimen and I am already seeing signs of feeling alive again.  I have only been on it for about a week, but if this drug is working already, I will be ecstatic. Fingers crossed!!",started first abilify regimen already seeing signs feeling alive week drug working already ecstatic fingers crossed,Positif,0.7506,     Additional Medications to Treat Depression,39.5,female
,nan,Neutre,0.0,     Bipolar Disorder in Remission,49.5,male
"I started with 5mg, then 10mg and at last 15mg.  At that stage the tremors were so bad that I could not sign my name.  It help me with my maniac episodes of compulsive shopping but I had to stop it because of the Tardive Dyskinesia.",started mg mg last mg stage tremors bad could sign name help maniac episodes compulsive shopping stop tardive dyskinesia,Négatif,-0.7269,     Additional Medications to Treat Depression,59.5,female
This medication has been an integral part of my treatment regimen. My moods have been very stable on Abilify.,medication integral part treatment regimen moods stable abilify,Positif,0.296,     Bipolar Disorder in Remission,49.5,female
wasnt sure how to update already posted side effects but also had lightheadness a lot of tha times when id stand up or even while standing,wasnt sure update already posted side effects also lightheadness lot tha times id stand even standing,Négatif,-0.2411,     Bipolar Disorder in Remission,49.5,female
"Within half an hour of swallowing the Abilify, which was right before bedtime as prescribed, my sinuses would close up so I literally could not breathe. When I closed my eyes, I would see weird, swirling patterns and colors and - I know this sounds odd - felt as if my brain was being sucked into a black hole. I had no problems with hallucinations before this. Once I stopped taking the medication, these terrifying problems stopped.",within half hour swallowing abilify right bedtime prescribed sinuses would close literally could breathe closed eyes would see weird swirling patterns colors know sounds odd felt brain sucked black hole problems hallucinations stopped taking medication terrifying problems stopped,Négatif,-0.9509,     Mania associated with Bipolar Disorder,49.5,female
"Have Bi-Polar II.  Abiligy 5 mg. was perscribed as an add-on to lemictal.    I felt absolutely nothing on it -- like I was taking a placebo.  So, against my doctor's advice, I quit taking it.      After reading all these great reviews, I think I will try again, this time I'll stay on it longer, giving it more time to work.",bipolar ii abiligy mg perscribed addon lemictal felt absolutely nothing like taking placebo doctors advice quit taking reading great reviews think try time ill stay longer giving time work,Positif,0.3208,     Other,49.5,female
I felt great on Abilify but I gained almost 30 lbs in a year.  Had I kept taking it my weight would have just kept going up.  It's too bad to have such a wonderul feeling but to have to quit the med because of a bad side effect.,felt great abilify gained almost lbs year kept taking weight would kept going bad wonderul feeling quit med bad side effect,Positif,0.0516,     Additional Medications to Treat Depression,49.5,female
,nan,Neutre,0.0,     Schizophrenia,59.5,female
"Just started my first Abilify regimen and I am already seeing signs of feeling alive again.  I have only been on it for about a week, but if this drug is working already, I will be ecstatic. Fingers crossed!!",started first abilify regimen already seeing signs feeling alive week drug working already ecstatic fingers crossed,Positif,0.7506,     Additional Medications to Treat Depression,59.5,female
"This medication precipitated migraines, seizures and at least one stroke.  I have memory loss, excessive weight gain (40 pounds) confusion and agitation.  Involuntary muscle movements, wierd facial expressions, lip smacking, personality change as well.  I do not feel that this medication should be used without large warnings.  The problems far outweigh any benefit.",medication precipitated migraines seizures least one stroke memory loss excessive weight gain pounds confusion agitation involuntary muscle movements wierd facial expressions lip smacking personality change well feel medication used without large warnings problems far outweigh benefit,Positif,0.7308,     Additional Medications to Treat Depression,49.5,female
It didn't help me i gained 117 pounds in about 4-5 months. I dont think i have bipolar but i was prescribed it anyway.,didnt help gained pounds months dont think bipolar prescribed anyway,Négatif,-0.5334,     Other,15.5,male
"I started with 5mg, then 10mg and at last 15mg.  At that stage the tremors were so bad that I could not sign my name.  It help me with my maniac episodes of compulsive shopping but I had to stop it because of the Tardive Dyskinesia.",started mg mg last mg stage tremors bad could sign name help maniac episodes compulsive shopping stop tardive dyskinesia,Négatif,-0.7269,     A Rare Developmental Disorder of Infants,,nan
"After trying different anti-depressants for my severe major depression, doc prescribed Abilify in addition to Wellbutrin.     I woke up on the 4th day of taking it, and almost jumped out of bed, whereas before I could never get myself out of bed. I was happy! I couldn't wait to get to work.     This drug has been, literally, a life-saver. I didn't have any major side effects, and haven't gained weight.",trying different antidepressants severe major depression doc prescribed abilify addition wellbutrin woke th day taking almost jumped bed whereas could never get bed happy couldnt wait get work drug literally lifesaver didnt major side effects havent gained weight,Négatif,-0.7705,     Additional Medications to Treat Depression,59.5,female
i took abilify with lexapro i gained so much weight i felt out of it in a fog i was so medicated and continued gaining weight i think my doctor should of changed treatment after 20lbs but did not weight gain adds to the depression DO NOT TAKE ABILIFY,took abilify lexapro gained much weight felt fog medicated continued gaining weight think doctor changed treatment lbs weight gain adds depression take abilify,Positif,0.6249,     Additional Medications to Treat Depression,29.5,female
wonderful,wonderful,Positif,0.5719,     Other,59.5,female
I am happy with it. no side effects,happy side effects,Positif,0.5719,     A Rare Developmental Disorder of Infants,49.5,male
I've been on abilify for 9 yrs. It gave me my life back. Haven't been suicidal since I started taking it. The only complaint I have is it's caused tremors in my whole body. Drs are decreasing it to see if this helps.,ive abilify yrs gave life back havent suicidal since started taking complaint caused tremors whole body drs decreasing see helps,Positif,0.6111,     Bipolar I Disorder with Most Recent Episode Mixed,49.5,female
muscle stiffness and water retention in hands and feet swelling.,muscle stiffness water retention hands feet swelling,Neutre,0.0,     Additional Medications to Treat Depression,59.5,female
"Very good drug, stabilised my mood and pushed psychosis into remission very quickly. Unfortunately I experienced horrible body aches for weeks when beginning which required heavy doses of painkillers to relieve just slightly. Well worth the sacrifice, however.",good drug stabilised mood pushed psychosis remission quickly unfortunately experienced horrible body aches weeks beginning required heavy doses painkillers relieve slightly well worth sacrifice however,Neutre,-0.0184,     Other,21.5,male
Abilify has literally saved my life.  I have been misdiagnosed with depression and anxiety disorder when I was 15.  I tried committing suicide 3 times with almost 2 successes just because I couldn't handle the depression anymore.  I found a wonderful psychiatrist who really took the time to work with me and now I am diagnosed with Bipolar disorder.  I am currently on 5mg of Abilify with 250mg of Lamictal and I never felt better!,abilify literally saved life misdiagnosed depression anxiety disorder tried committing suicide times almost successes couldnt handle depression anymore found wonderful psychiatrist really took time work diagnosed bipolar disorder currently mg abilify mg lamictal never felt better,Négatif,-0.8833,     Bipolar Disorder in Remission,39.5,female
wasnt sure how to update already posted side effects but also had lightheadness a lot of tha times when id stand up or even while standing,wasnt sure update already posted side effects also lightheadness lot tha times id stand even standing,Négatif,-0.2411,     Schizophrenia,29.5,male
,nan,Neutre,0.0,     Schizophrenia,29.5,male
Before this drug I was having episodes daily.  I now feel like a normal person.  I can get out of the bed and the house more.,drug episodes daily feel like normal person get bed house,Positif,0.3612,     Additional Medications to Treat Depression,59.5,female
This medication literally paralyzed. I couldn't do anything. Started getting scared that the effects were permenant when I still was not able to move 3 days after coming off it. On the 4th day started getting my mobility back and was quite relieved. On top of that it did nothing for my anxiety and depression.,medication literally paralyzed couldnt anything started getting scared effects permenant still able move days coming th day started getting mobility back quite relieved top nothing anxiety depression,Positif,0.6795,     Additional Medications to Treat Depression,29.5,female
"This medication is toxic.  I stopped taking it two months ago, and am experiencing hot flashes, muscle twitches, swollen tongue and headache.  Not recommended!!!",medication toxic stopped taking two months ago experiencing hot flashes muscle twitches swollen tongue headache recommended,Neutre,-0.0258,     Other,39.5,female
Too soon to tell. Only on it for one week.,soon tell one week,Neutre,0.0,     Other,69.5,male
,nan,Neutre,0.0,     Additional Medications to Treat Depression,49.5,female
"This medicine has done wonders for me.  I am able to concentrate, and the depression in gone for the first time in a long time.  I have had no lasting side effects, though it did make me tired at first, and nauseous at first.",medicine done wonders able concentrate depression gone first time long time lasting side effects though make tired first nauseous first,Négatif,-0.765,     Bipolar I Disorder with Most Recent Episode Mixed,29.5,female
"I started taking abilify a long time ago along with some other depression meds.  The med was expensive, so had a discount card to help pay for it.  The discount card had expired so i decided to stop taking it in the summer when lmy depression is not as bad.  Since stopping abilify I have lost 40 lbs and feel better.  while on abilify I was also diagnosed with type 2 diabeties, another reason I stopped taking this drug.",started taking abilify long time ago along depression meds med expensive discount card help pay discount card expired decided stop taking summer lmy depression bad since stopping abilify lost lbs feel better abilify also diagnosed type diabeties another reason stopped taking drug,Négatif,-0.9136,     Additional Medications to Treat Depression,39.5,female
"Was given as a helper to my Lamictal for bi-polar, manic depressive dis. Worst drug ever, within days, I went from bad to worse! Thoughts of hurting myself were no more-they were actions! Scared myself, my husband, and my young children-this stuff was bad news!",given helper lamictal bipolar manic depressive dis worst drug ever within days went bad worse thoughts hurting morethey actions scared husband young childrenthis stuff bad news,Négatif,-0.9638,     Mania associated with Bipolar Disorder,39.5,female
weight gain.,weight gain,Positif,0.5267,     Schizophrenia,59.5,female
Abilify 1 mg was added to Lamictal 400 mg and after about 2-3 months I started feeling less depressed than only on Lamictal. And I have only had 1 migraine in 9 months!  I used to have migraines 2-3 per month. I will now start tapering the Lamictal down and the Ability up.,abilify mg added lamictal mg months started feeling less depressed lamictal migraine months used migraines per month start tapering lamictal ability,Négatif,-0.0534,     Additional Medications to Treat Depression,69.5,female
I am experiencing no sex drive,experiencing sex drive,Neutre,0.0,     Bipolar Disorder in Remission,69.5,male
"I have been taking 15 mg of abilify for one month. It was added because Cymbalta wasn't helping my depression. Within 3 weeks I had gained 10 lbs!! And I am so antsy and fidgety, I feel like I am going crazy. I can't sit for more than 5 minutes at a time. I have to get up and walk around. Then I get bored and try to sit again. It is an endless cycle. This med does not work for me at all!",taking mg abilify one month added cymbalta wasnt helping depression within weeks gained lbs antsy fidgety feel like going crazy cant sit minutes time get walk around get bored try sit endless cycle med work,Positif,0.0798,     Additional Medications to Treat Depression,49.5,female
THIS MEDICINE HAS BEEN GOOD FOR ME EXCEPT FOR THE WEIGHT GAIN.,medicine good except weight gain,Positif,0.743,     Schizophrenia,39.5,female
"This drug hugely intensified my anxiety to the point where I wanted to die, and I started to become suicidal when I never have before.",drug hugely intensified anxiety point wanted die started become suicidal never,Négatif,-0.8854,     Additional Medications to Treat Depression,21.5,male
,nan,Neutre,0.0,     Additional Medications to Treat Depression,49.5,female
"I have been on abilfy 30 for close to a year now.  It is wonderful.  It keeps me stable with no manic episodes thus far.  The only concerns I have is that I had two scary episodes of blacking out and seeing ""stars"" before my eyes.  I don't know if it's my blood pressure or the medicine.  Will look into it further and repost again.",abilfy close year wonderful keeps stable manic episodes thus far concerns two scary episodes blacking seeing stars eyes dont know blood pressure medicine look repost,Positif,0.5556,     Bipolar Disorder in Remission,39.5,female
i've been getting a lot of headaches and nausea and i wasn't sure what was causing them.  abilfy can cause both.,ive getting lot headaches nausea wasnt sure causing abilfy cause,Négatif,-0.2411,     Schizophrenia,59.5,female
,nan,Neutre,0.0,     Other,39.5,female
"developed tardive dyskinesia, had to go to emergency room, after had used medication 3 days",developed tardive dyskinesia go emergency room used medication days,Négatif,-0.3818,     Bipolar I Disorder with Most Recent Episode Mixed,21.5,male
"When I first took it it made me sleep for 4 days, second time I took it it made me sleep for 3 days.",first took made sleep days second time took made sleep days,Neutre,0.0,     Additional Medications to Treat Depression,39.5,male
,nan,Neutre,0.0,     Additional Medications to Treat Depression,59.5,female
"My only problem is severe joint pain, foot pain and back pain.  Otherwise I'm happy to be alive.",problem severe joint pain foot pain back pain otherwise im happy alive,Négatif,-0.836,     Bipolar I Disorder with Most Recent Episode Mixed,39.5,female
"Abilify 5mg added to Cymbalta was the best treatment for me.  I have been taking both for years and have had the huge weight of depression (Severe) lifted.  I think Abilify 5mg and Cymbalta 60mg together has helped me so much.  I have slight trembling in my hands, but I don't care; rather have that than crippling depression.",abilify mg added cymbalta best treatment taking years huge weight depression severe lifted think abilify mg cymbalta mg together helped much slight trembling hands dont care rather crippling depression,Négatif,-0.8238,     Additional Medications to Treat Depression,59.5,female
,nan,Neutre,0.0,     Other,49.5,female
"very bad drug! caused leg muscles to hurt, can not sleep, can not stay awake during the day, drowiness, did no help at all with my depression. I refuse to take this drug anymore.     Not safe to drive a car, should be given a DUI if on this drug and driving!!!!    Depression is better feeling than how this drug make me feel.",bad drug caused leg muscles hurt sleep stay awake day drowiness help depression refuse take drug anymore safe drive car given dui drug driving depression better feeling drug make feel,Négatif,-0.8176,     Additional Medications to Treat Depression,49.5,male
